,row,forest prediction to refactorating,intercept,local prediction,bugFixCount description,bugFixCount weight,methodSubClassesQty description,methodSubClassesQty weight,methodRfc description,methodRfc weight,methodLoc description,methodLoc weight,methodAssignmentsQty description,methodAssignmentsQty weight,methodVariablesQty description,methodVariablesQty weight,methodUniqueWordsQty description,methodUniqueWordsQty weight,methodParenthesizedExpsQty description,methodParenthesizedExpsQty weight,methodAnonymousClassesQty description,methodAnonymousClassesQty weight,refactoringsInvolved description,refactoringsInvolved weight,methodWmc description,methodWmc weight,methodLoopQty description,methodLoopQty weight,methodStringLiteralsQty description,methodStringLiteralsQty weight,methodLambdasQty description,methodLambdasQty weight
0,0,0.72,0.4934026151308578,0.7382206727145516,0.00 < bugFixCount <= 4.00,0.14650268704324004,methodSubClassesQty <= 0.00,-0.05757795491244183,methodRfc > 10.00,0.04878260288119696,methodLoc > 25.00,0.04834687058133261,methodAssignmentsQty > 5.00,0.029050860782310478,methodVariablesQty > 3.00,0.026189855098351852,13.00 < methodUniqueWordsQty <= 26.00,0.022444312932175057,methodParenthesizedExpsQty > 0.00,-0.018921176822471446,,,,,,,,,,,,
1,1,0.81,0.4139809180330389,0.7857795407995387,0.00 < bugFixCount <= 4.00,0.14774995840934077,methodSubClassesQty <= 0.00,-0.00504910989127535,methodRfc > 10.00,0.052593935517875987,methodLoc > 25.00,0.05161538188026488,1.00 < methodAssignmentsQty <= 5.00,0.027043575802700375,,,methodUniqueWordsQty > 26.00,0.0561704181763515,methodParenthesizedExpsQty <= 0.00,0.021451693100208072,methodAnonymousClassesQty > 0.00,0.020222769771033555,,,,,,,,,,
2,2,0.97,0.42810690520175254,0.7374815899840352,,,,,methodRfc > 10.00,0.04730206849177186,methodLoc > 25.00,0.04884620489038359,methodAssignmentsQty > 5.00,0.03843099702953343,methodVariablesQty > 3.00,0.03111876116864157,methodUniqueWordsQty > 26.00,0.05606719335348241,,,,,refactoringsInvolved > 13.00,0.04136629131880318,methodWmc > 5.00,0.02326580752552271,methodLoopQty <= 0.00,0.022977361004143906,,,,
3,3,0.51,0.44568026642991176,0.5171756673332113,bugFixCount > 18.00,-0.2575059318184139,methodSubClassesQty <= 0.00,0.06144829524977091,methodRfc > 10.00,0.05278937616629496,methodLoc > 25.00,0.05298838030515759,methodAssignmentsQty > 5.00,0.03090832855955014,methodVariablesQty > 3.00,0.029401070423514523,methodUniqueWordsQty > 26.00,0.05599682566541196,,,,,refactoringsInvolved > 13.00,0.0454690563520134,,,,,,,,
4,4,0.9,0.4532717441299627,0.604526106506879,,,methodSubClassesQty <= 0.00,0.007376165500361865,methodRfc > 10.00,0.05178271328172509,methodLoc > 25.00,0.055221601249753886,methodAssignmentsQty <= 0.00,-0.031583382781095105,methodVariablesQty <= 0.00,-0.027571847378074395,methodUniqueWordsQty > 26.00,0.05441835083952085,methodParenthesizedExpsQty <= 0.00,0.020828615353740372,,,,,,,methodLoopQty <= 0.00,0.020782146310983667,,,,
5,5,0.49,0.5833076300921729,0.4619863479484806,bugFixCount > 18.00,-0.2617232577816014,methodSubClassesQty <= 0.00,-0.05219803311994552,methodRfc > 10.00,0.04825405292439606,methodLoc > 25.00,0.04595950592288674,methodAssignmentsQty > 5.00,0.027716136312678916,,,methodUniqueWordsQty > 26.00,0.052427826404814026,,,,,refactoringsInvolved > 13.00,0.04100317171455583,,,,,methodStringLiteralsQty > 2.00,-0.02276068452147694,,
6,6,0.8,0.4148821685988042,0.6864199263995028,bugFixCount <= 0.00,0.11190404641860388,methodSubClassesQty <= 0.00,0.05651617559813091,,,10.00 < methodLoc <= 25.00,0.0346032079244685,methodAssignmentsQty > 5.00,0.03008826437813757,methodVariablesQty > 3.00,0.025575949951544687,methodUniqueWordsQty > 26.00,0.05216988414022953,,,methodAnonymousClassesQty <= 0.00,-0.02063685539440361,,,methodWmc <= 1.00,-0.01868291521601291,,,,,,
7,7,0.84,0.40811590588185287,0.7134949509444851,,,methodSubClassesQty <= 0.00,0.06253851942468378,methodRfc > 10.00,0.05157520878361424,methodLoc > 25.00,0.053274591869197085,methodAssignmentsQty > 5.00,0.039157498359982064,methodVariablesQty > 3.00,0.027595357124515087,methodUniqueWordsQty > 26.00,0.055059571847592144,,,,,refactoringsInvolved > 13.00,0.044087328470301126,,,,,,,methodLambdasQty <= 0.00,-0.02790903081725326
8,8,0.98,0.35301640096262693,0.785687009385529,0.00 < bugFixCount <= 4.00,0.14675018365091858,methodSubClassesQty <= 0.00,0.05144038836906142,methodRfc > 10.00,0.055854489188366704,methodLoc > 25.00,0.045247130286314316,methodAssignmentsQty > 5.00,0.032789427878042426,methodVariablesQty > 3.00,0.026209261394273247,methodUniqueWordsQty > 26.00,0.04843609595009633,methodParenthesizedExpsQty <= 0.00,0.025943631705829064,,,,,,,,,,,,
9,9,0.85,0.5340788377690595,0.4668828607543528,bugFixCount > 18.00,-0.26558271561992886,methodSubClassesQty <= 0.00,-0.009941917917953833,methodRfc > 10.00,0.05513108990186517,10.00 < methodLoc <= 25.00,0.031243480621065377,1.00 < methodAssignmentsQty <= 5.00,0.0200768918029244,methodVariablesQty > 3.00,0.030196588160070217,13.00 < methodUniqueWordsQty <= 26.00,0.02825985604788109,,,,,refactoringsInvolved > 13.00,0.043420749989369754,,,,,,,,
